budget,id,revenue,runtime,vote_average,vote_count
30000000,862,373554033,81,7.7,5415
65000000,8844,262797249,104,6.9,2413
0,15602,0,101,6.5,92
16000000,31357,81452156,127,6.1,34
0,11862,76578911,106,5.7,173
60000000,949,187436818,170,7.7,1886
58000000,11860,0,127,6.2,141
0,45325,0,97,5.4,45
35000000,9091,64350171,106,5.5,174
58000000,710,352194034,130,6.6,1194
62000000,9087,107879496,106,6.5,199
0,12110,0,88,5.7,210
0,21032,11348324,78,7.1,423
44000000,10858,13681765,192,7.1,72
98000000,1408,10017322,119,5.7,137
52000000,524,116112375,178,7.8,1343
16500000,4584,135000000,136,7.2,364
4000000,5,4300000,98,6.5,539
30000000,9273,212385533,90,6.1,1128
60000000,11517,35431113,103,5.4,224
30250000,8012,115101622,105,6.4,305
0,1710,0,124,6.5,199
50000000,9691,30303072,132,6,394
0,12665,0,111,6.3,143
3600000,451,49800000,112,7.1,365
0,16420,0,123,7,33
12000000,9263,27400000,100,6.6,91
0,17015,0,104,7.4,36
18000000,902,1738611,108,7.6,308
0,9909,180000000,99,6.4,249
29500000,63,168840000,129,7.4,2470
0,78802,0,50,6.8,4
30000000,9598,254134910,89,6,756
0,47018,0,121,6.4,16
11000000,687,39363635,122,7.3,350
0,139405,0,51,3.5,2
0,33689,0,101,6.1,149
12000000,9603,0,97,6.9,828
0,34615,676525,106,6.7,13
0,31174,0,104,6.9,50
10000000,11443,0,119,6.6,80
19000000,35196,0,117,6.3,30
18000000,9312,122195920,101,5.4,452
20000000,577,21284514,106,6.7,177
10000000,11861,23574130,116,6.5,38
33000000,807,327311859,127,8.1,5915
55000000,10530,346079773,81,6.7,1509
0,8391,0,96,5.9,10
6000000,629,23341568,106,8.1,3334
0,117164,0,93,6.3,3
15000000,11448,6700000,95,6.7,145
0,49133,0,116,7.7,11
0,26441,0,100,5.2,41
0,97406,0,115,6.1,15
0,124057,0,89,3,1
0,9089,17519169,103,6.3,39
0,11010,0,108,7.6,181
0,99040,0,100,6.5,2
45000000,11359,0,96,5.9,136
20000000,17182,0,101,5.8,65
0,2054,106269971,137,6.9,115
0,10607,0,89,6.2,192
0,19760,0,96,4.5,14
15000000,9536,0,88,4.4,110
0,11525,2409225,92,2.8,32
0,40628,0,85,5.4,11
0,4482,0,95,6,43
3500000,10634,28215918,91,7,513
19000000,755,25836616,108,6.9,1644
50000000,11859,11534477,91,4.1,54
0,28387,718490,96,7,36
0,48750,0,175,6.6,8
0,20927,19030691,87,5.1,27
15000000,36929,2042530,90,3.9,16
20000000,9102,5781885,108,6.1,154
0,124626,0,70,7.3,3
0,27526,0,111,6.1,74
44000000,9623,0,118,5.5,91
0,46785,0,85,7.5,20
900000,880,0,102,7.2,26
0,146599,0,115,4.5,2
0,188588,0,108,0,0
0,8447,0,118,6.3,17
38000000,10534,10300000,129,6.3,86
16000000,17414,0,88,5.1,59
0,13997,32,87,6,124
8169363,2086,8175346,90,6.1,190
0,61548,0,91,6.7,3
47000000,9095,12379402,104,5.7,77
14000000,12158,19800000,100,4.5,113
0,9283,0,112,6.6,103
50000000,9208,150270147,108,5.7,459
0,40154,0,99,7.5,6
3000000,406,0,98,7.9,695
0,45549,0,105,5.6,13
0,63076,0,106,6.8,4
0,11062,0,111,6,67
7000000,13685,560069,91,6.8,285
0,47475,0,96,3.3,16
